Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,date,Candidate_name,Comment,Election_year,Postal_data,Poll_data,Final_percentage,Candidate_Year,Sentiment_score,Candidate_name_encoded,Candidate_Year_encoded
836,0.0,0.687,0.313,0.6249,0.0051436508074402,0.492033839225769,0.5028225183486938,8/31/2024,Sajith,Sajith Premadasa: For a future where Sri Lanka leads with excellence,2024,31.57,32.0,,Sajith (2024),0.4976788675412535,8,8
837,0.0,0.0,1.0,0.7096,0.0042107328772544,0.0991621389985084,0.8966271877288818,8/31/2024,Sajith,Good luck,2024,31.57,32.0,,Sajith (2024),0.8924164548516273,8,8
838,0.423,0.192,0.385,-0.0516,0.331775814294815,0.614095151424408,0.0541290380060672,8/31/2024,Sajith,No chance raja,2024,31.57,32.0,,Sajith (2024),-0.2776467762887478,8,8
839,0.36,0.4,0.24,-0.2263,0.4735799133777618,0.47877898812294,0.0476411245763301,8/31/2024,Sajith,"Sir,please solve teachers salary problems.",2024,31.57,32.0,,Sajith (2024),-0.4259387888014316,8,8
840,0.0,0.316,0.684,0.7579,0.0045658117160201,0.0876006111502647,0.9078335165977478,8/31/2024,Sajith,definitely you will win sir,2024,31.57,32.0,,Sajith (2024),0.9032677048817276,8,8
841,0.132,0.753,0.115,-0.0831,0.8858495354652405,0.1027460172772407,0.0114043913781642,8/31/2024,Sajith,I’m not very good at English. Please teach me how to speak English in front of people.,2024,31.57,32.0,,Sajith (2024),-0.8744451440870762,8,8
842,0.0,1.0,0.0,0.0,0.0233490150421857,0.8353844285011292,0.1412665545940399,8/31/2024,Sajith,Sajith Premadasa: The future of Sri Lanka starts here.,2024,31.57,32.0,,Sajith (2024),0.1179175395518541,8,8
843,0.0,0.562,0.438,0.5994,0.0012245794059708,0.0399938076734542,0.9587816596031188,8/31/2024,Sajith,Congratulation our next president Sajith Premadasa,2024,31.57,32.0,,Sajith (2024),0.957557080197148,8,8
844,0.0,0.641,0.359,0.9337,0.0195397175848484,0.3541407287120819,0.6263195276260376,8/31/2024,Sajith,"Superb , I’d like to request to brave people to join with SJB for your better future. We will give 5 yrs to sajith to run this country. If he does, will continue ahed.",2024,31.57,32.0,,Sajith (2024),0.6067798100411892,8,8
845,0.0,0.165,0.835,0.8779,0.002394356764853,0.0381858609616756,0.9594197869300842,8/30/2024,Sajith,Good luck. All the best.,2024,31.57,32.0,,Sajith (2024),0.9570254301652312,8,8
846,0.0,0.0,1.0,0.5859,0.1154870316386222,0.5115044116973877,0.373008519411087,8/30/2024,Sajith,win,2024,31.57,32.0,,Sajith (2024),0.2575214877724647,8,8
